t,ref_sq,n_test,n_sites,grid_size,half_width,tag,bundle_hash
0.05,30909.09810124927,256,32,401,8.0,exp07-test,a3d19eee41d1
0.0725,26055.170961101685,256,32,401,8.0,exp07-test,a3d19eee41d1
0.1053,21638.44461291207,256,32,401,8.0,exp07-test,a3d19eee41d1
0.1527,17869.244989943705,256,32,401,8.0,exp07-test,a3d19eee41d1
0.2216,14824.081115878816,256,32,401,8.0,exp07-test,a3d19eee41d1
0.3215,12234.226200241232,256,32,401,8.0,exp07-test,a3d19eee41d1
0.4665,10510.309095611465,256,32,401,8.0,exp07-test,a3d19eee41d1
0.6769,9764.309781587035,256,32,401,8.0,exp07-test,a3d19eee41d1
0.9821,8608.532079448933,256,32,401,8.0,exp07-test,a3d19eee41d1
1.425,8171.368300376701,256,32,401,8.0,exp07-test,a3d19eee41d1
2.0676,8116.154838518456,256,32,401,8.0,exp07-test,a3d19eee41d1
3.0,8168.434994410262,256,32,401,8.0,exp07-test,a3d19eee41d1
